Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,STOP,266.032,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7973,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,268.235,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8039,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,278.879,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8358,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,START,279.379,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8373,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,STOP,281.915,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8449,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,dropping peanut,,POINT,281.982,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8451,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,pushing,,START,282.482,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8466,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,pushing,,STOP,287.754,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8624,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,covering with soil,,START,287.888,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8628,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,covering with soil,,STOP,294.394,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,8823,NA,
