date,time.of.day,time (UTC),temperature (°C),Study site,ID,weather,Fruit,unstem,peel,transported,scatter.hoarded,eaten.lifted,eaten.on.the.floor,peeled.lifted,rotate,scent-marking,handling.only,comments,order taken,trials before first bite,peel bouts before first eating bout,hands used while eating,bite for each peeling bout (mean),total peeling bout,trials before scatterhoarding,leaf on top,time.first.peeling,time.first.eating,nb of eating bout before second peeling bout,,,,
22/03/2025,afternoon,20:23,31,Airbnb2,Unidentified,cloudy,orange,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,4/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:24,31,Airbnb2,Unidentified,cloudy,banana,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,5/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:26,32,Airbnb2,Unidentified,cloudy,orange,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,6/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,11:49,25,Airbnb2,Unidentified,sunny,apple,0,0,1,0,0,1,0,1,0,,rotate with one hand and bite the stem to transport it first.,1/9,9,NA,2,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:03,25,Airbnb2,Unidentified,sunny,banana,0,NA,1,0,0,1,0,0,0,,,2/9,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:06,27,Airbnb2,Unidentified,sunny,apple,0,1,0,0,0,1,0,0,0,,,3/9,4,12,2,4,13,NA,NA,,,,,,,
23/03/2025,morning,12:08,27,Airbnb2,Unidentified,sunny,apple,0,1,1,0,0,1,0,0,0,,,4/9,4,4,2,NA,9,NA,NA,,,,,,,
23/03/2025,morning,12:48,25,Airbnb2,Unidentified,sunny,orange,0,0,0,0,0,1,0,1,0,,"bites and eat a little inside, then leaves",5/9,2,1,2,2,3,NA,NA,,,,,,,
23/03/2025,morning,12:55,26,Airbnb2,Unidentified,sunny,banana,0,NA,1,0,0,0,0,0,0,,seems to eat the lining of the peel,6/9,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,13:17,29,Airbnb2,Unidentified,sunny,peanut,0,0,0,1,0,0,0,1,0,,,NA,0,NA,NA,NA,NA,0,0,,,,,,,
23/03/2025,morning,13:18,29,Airbnb2,Unidentified,sunny,peanut,0,0,0,1,0,0,0,1,0,,,NA,0,NA,NA,NA,NA,0,0,,,,,,,
23/03/2025,morning,NA,NA,Airbnb2,Unidentified,sunny,orange,0,NA,NA,NA,NA,NA,NA,NA,0,,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,NA,NA,House1,Unidentified,cloudy,orange,0,0,1,NA,NA,1,0,NA,0,,eat a little bit of the oustide layer,1/6,0,NA,2,NA,NA,NA,NA,,,,,,,
