Day,Time,ID,type,order_taken,rotation,scatter-hoard,leaf,eaten,N_congeners_around,Session,bloc_number,Comments,teeth-hole contact,,,,,,,,,,,,,
07/05,,Sidemark,control,12,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,13,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,14,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,15,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,empty,16,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,17,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,18,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,19,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,20,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,empty,21,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,22,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,empty,23,1,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,24,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,empty,25,1,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,26,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Grizzly,control,1,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,2,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,3,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,4,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,5,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,6,1,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,7,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,8,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,9,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,10,1,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,11,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,12,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,13,0,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,14,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,15,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,16,0,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,17,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,18,0,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,19,0,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,20,1,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,control,21,1,1,NA,0,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,22,1,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
07/05,,Grizzly,empty,23,1,0,NA,1,2,11,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,1,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control glue,2,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,3,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,4,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control glue,5,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,6,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,7,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,8,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,9,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,10,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control,11,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control glue,12,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Grizzly,control glue,13,0,0,NA,1,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,1,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
08/05,,Sidemark,control glue,2,0,1,NA,0,NA,12,,learned,,,,,,,,,,,,,,
